weight,flav_int,purchase,sex,age
2,6,2.99,1,21
2,5,5,1,24
1,4,4.5,1,24
2,5,4.5,1,27
1,3,2.5,2,23
1,5,4,2,22
2,7,3.49,2,24
1,6,4.5,1,25
2,6,4.49,2,24
2,4,2,2,20
2,5,5,1,20
2,6,2,1,25
2,6,4.5,2,24
2,4,3.5,2,27
1,3,3.5,2,27
2,7,4,2,25
1,6,5,2,20
1,5,0.99,2,24
1,4,5,2,24
2,6,3,2,21
1,5,6.95,2,24
1,5,7,2,19
2,6,3.49,1,21
2,5,5,2,24
1,5,2.99,1,36
1,4,5,2,21
2,6,4,1,26
2,5,3.99,1,20
2,4,8,2,22
1,4,7,2,23
2,6,0.5,2,24
1,6,10,2,24
1,6,3,1,23
2,4,2,1,27
1,3,1.99,2,24
1,6,2.99,2,22
2,5,3.5,1,27
1,5,1.95,1,25
1,6,3.5,2,20
2,4,3.7,2,27
2,6,8,2,24
1,5,10,2,21
1,3,1.99,1,30
2,7,3.5,1,22
2,6,6,2,28
1,6,7,2,24
2,6,5,1,24
2,5,6,2,22
1,5,3,1,24
1,6,5,2,19
1,4,3,2,23
1,5,3.99,2,23
2,6,2.99,1,23
2,7,8,2,23
1,5,7.5,1,25
1,4,8,2,22
2,5,7.5,2,19
1,5,2.99,2,31
2,4,3.95,2,22
2,5,2.5,1,29
2,6,4,2,23
1,5,5,2,24
1,5,3,1,23
2,5,3,2,22
1,4,3.99,1,24
1,5,3,2,23
2,5,1.5,1,24
1,6,3,2,21
1,5,2.5,1,25
1,3,1.99,1,30
1,6,2.5,2,21
1,4,1.5,1,27
2,2,1,1,22
2,5,0.85,2,20
1,3,0.25,1,28
1,4,0.79,1,21
2,6,1,2,22
2,7,0,1,25
1,4,1,1,24
1,5,0.9,2,19
2,6,0.9,1,22
1,5,0.5,1,25
1,5,2,2,17
1,4,0.7,2,23
1,4,0.5,1,19
1,1,1,1,23
1,3,0.5,1,26
1,6,1,1,20
2,5,1.5,1,23
2,6,1,2,20
2,5,0.4,2,24
1,4,1,1,22
1,5,0.6,1,23
1,1,2,1,22
1,1,0.7,1,22
1,2,0.5,1,22
2,3,0.4,2,20
1,3,0.5,1,23
1,3,1,1,24
1,3,0.75,2,20
1,4,0.8,2,22
2,7,1.5,2,24
2,4,0.9,2,22
1,3,0.6,2,25
1,6,0.89,2,27
2,6,0.5,1,22
2,5,0.9,1,24
1,5,0.5,1,27
1,2,0.5,2,20
1,3,0.9,2,23
2,3,0.5,1,21
1,5,0.7,1,23
2,3,1.2,2,20
2,3,1,2,20
1,5,0.9,2,20
1,4,0.65,2,22
2,6,1,1,20
2,5,1.5,2,19
2,5,1.4,2,19
2,6,1.5,2,21
1,6,1,2,19
1,3,0.6,2,20
2,4,1.5,1,21
2,2,0.5,2,22
2,1,0.9,2,22
2,5,0.45,1,22
1,3,0,1,23
2,1,0.5,2,27
1,5,0.6,2,21
1,4,0.5,1,20
1,5,0.7,2,19
1,3,0.8,1,25
1,3,0.9,1,25
2,5,0.6,2,26
2,6,0.65,2,22
1,5,0.8,1,18
2,4,0.8,2,21
2,5,1,2,23
1,5,0.8,1,18