side_room,words,imagery,repetition
1,7,1,7
1,12,2,4
1,12,4,1
2,11,6,1
1,11,5,5
2,10,4,4
1,9,4,6
1,7,4,2
1,13,1,3
2,14,6,1
1,6,1,3
1,9,1,7
1,0,1,1
2,6,1,7
1,8,4,2
1,5,2,5
2,8,4,6
1,7,4,3
2,9,4,3
2,12,6,1
1,6,2,6
2,17,7,2
1,9,1,7
2,12,4,4
1,5,1,7
1,11,3,6
1,5,2,6
1,11,1,6
1,8,4,3
2,14,7,4
2,13,1,7
2,8,1,2
1,8,4,7
2,12,7,5
1,7,2,7
2,10,4,4
2,9,4,2
1,11,3,7
2,11,1,6
1,3,4,3
1,7,4,7
2,16,7,4
1,12,1,6
1,8,1,7
2,18,6,4
1,7,5,4
1,8,2,7
2,13,7,7
2,12,4,6
2,12,4,2
1,10,2,6
2,7,4,3
2,12,3,5
2,13,7,2
2,14,6,2
2,13,5,5
2,12,7,2
2,12,4,2
2,15,4,2
1,10,4,6
1,3,3,4